caseNumber,steps,temperature,intensityOfUse,humidity,degradationState,degradationAfterTreatment,productionVolume,treatment,cumulativeProduction
25,0,12.166466814473921,10.69305766170622,27.09102369702692,291.88018464251184,,1941.6239630714977,0,1941.6239630714977
25,1,15.569074741115502,7.580079941728327,22.294659148889163,281.9237095357622,-19.7860763303035,971.8076290464238,1,2913.4315921179214
25,2,15.035561825875035,3.53616509108433,16.998321125424656,279.56647622060643,-24.615826841321848,972.0433523779393,1,3885.4749444958607
25,3,13.997344432675987,10.283691231639137,17.658420580639326,326.5131110488867,-20.040784761200882,967.3486888951113,1,4852.823633390972
25,4,7.309553023757532,13.649269578757238,18.434095627501044,622.2364411874632,-20.658015406211575,937.7763558812536,1,5790.599989272226
25,5,10.423045504007563,13.68488088055786,26.30656026667246,669.3598367511629,-19.36347748746175,933.0640163248836,1,6723.664005597109
25,6,20.233956411554388,8.493554907535136,27.07223413983742,683.7689519690035,,1863.2462096061995,0,8586.910215203308
25,7,16.207504648829968,8.097241764108304,27.162706412946996,711.0495644154176,-20.596982767304667,928.8950435584583,1,9515.805258761768
25,8,2.0891147138756585,10.36800870244562,13.191887281744673,712.6181941727963,,1857.476361165441,0,11373.281619927207
25,9,16.915026208810705,13.272375363025393,21.343485749545906,864.9477414014872,-18.904247271936583,913.5052258598513,1,12286.786845787059
25,10,11.156497920062034,7.698576374208463,23.924893756607588,882.4872823192878,,1823.5025435361426,0,14110.289389323201
25,11,8.547907328961433,8.758333038121538,19.37970254485542,896.8051003711922,,1820.6389799257618,0,15930.928369248963
25,12,11.41503888320654,5.817049512238511,15.913624620119457,889.6488255714514,-18.929548497273913,911.0351174428548,1,16841.963486691817
25,13,0.3129587151865305,7.344383589991352,11.22096175299162,992.6572466861779,-22.106767965342556,900.7342753313823,1,17742.6977620232
25,14,10.115967849753945,3.0852290261681876,10.459259891075773,973.5451670099861,-20.203461126530215,902.6454832990014,1,18645.3432453222
25,15,9.31411517439307,11.695754418627624,20.87990439013513,1138.6222253375086,-18.933001911420888,886.1377774662492,1,19531.48102278845
25,16,13.618951846173873,9.927462139505211,20.81609657945664,1151.2467169375986,,1769.7506566124805,0,21301.23167940093
