case,step,temperature,intensityOfUse,humidity,degradationState,sensorData,productionVolume,treatment,cumulativeProduction
1,0,12.229728833731206,10.54788283245275,24.261090426832556,46.358843357112555,48.84245957806504,6150.057474493818,1.0,6150.057474493818
1,1,3.2688053337046554,11.495595669289724,23.058713414645194,73.57907822731039,72.4820142340923,6055.065815984844,0.0,12205.123290478663
1,2,10.802399981989725,13.47717558508768,26.19638181873004,153.9949454944619,146.50748778711596,5618.347966858995,1.0,17823.471257337656
1,3,15.889761512589011,9.33350446326417,29.954428636477537,156.59165912366413,168.92494576397183,5585.3887815395165,0.0,23408.860038877174
1,4,7.302839357932012,13.024199063577642,16.15336879262825,218.74674879022936,216.71792438514328,5097.556191459286,1.0,28506.41623033646
1,5,14.274977146027929,6.438414243123756,16.075625044150037,143.5578373684271,155.19009710287457,5385.043087177826,0.0,33891.45931751429
1,6,7.007754893576498,10.222308433365003,17.422387144824043,187.2083807950859,194.34151451140835,5210.403874380637,1.0,39101.863191894925
1,7,6.1869590208636405,6.252592186540394,20.140174338783854,162.27302958087805,168.1673421612041,5384.520573646857,0.0,44486.38376554178
1,8,17.202914776246757,10.140410166445196,24.092181695888407,229.73698793490513,246.16722164896188,5007.8946487685025,1.0,49494.27841431028
1,9,10.026407786297918,8.499597823540235,22.985767729990002,204.52204883963972,206.25360108826004,5150.651966320673,1.0,54644.930380630954
1,10,12.631806387836157,10.78812365097117,20.56845281257477,171.04225568026985,171.42111309071052,5355.688862339978,0.0,60000.61924297093
1,11,13.649088038425651,8.77652358954769,25.406294018631883,217.74265022364997,221.7045535283809,5074.17245249061,1.0,65074.79169546154
1,12,10.298594717247427,12.055388501801325,21.33969166174248,198.18231572278373,195.9344583981848,5227.716994712724,0.0,70302.50869017426
1,13,5.196337975898748,9.614395454847722,17.627884552463417,231.31858132967767,224.15270477093932,4989.917775771758,0.0,75292.42646594603
1,14,7.514617548032064,11.518309303310957,25.194347000615988,244.2856175906404,255.30278386645085,4804.391758683427,0.0,80096.81822462945
1,15,7.239840999679599,9.73304033409365,19.671392104641363,285.3017326852813,305.1860305675925,4551.1626155688855,1.0,84647.98084019833
1,16,9.009413937112589,6.9147110122170625,26.78942328925758,280.8951400904191,271.2751347719881,4727.291598661309,0.0,89375.27243885965
1,17,12.664313533368077,10.763137802244355,29.527812524047917,308.796485366572,319.7862129969361,4455.623448897383,0.0,93830.89588775703
1,18,12.34828138762946,7.601255462384381,18.066911235564447,371.9429915743921,357.4556786851754,4186.309249168672,1.0,98017.20513692571
1,19,11.00830461745501,4.39864607930126,21.064555169621386,328.7680638987834,322.3489001079602,4413.249788483263,1.0,102430.45492540897
1,20,7.123511478672238,11.336415997911004,14.409150047894366,323.49044026704917,329.5565556261447,4467.366029722728,1.0,106897.8209551317
1,21,15.27750194833472,9.223984663125497,19.95988091091118,312.6582148708083,316.623722522538,4495.359357902825,0.0,111393.18031303452
1,22,20.837962582312258,6.605071487371543,20.438266831088658,375.03260344158093,368.9404385132535,4160.302157438422,1.0,115553.48247047294
