id,time,variable,value
1,0, humidity,24.26109043
1,1, humidity,19.54300663
1,2, humidity,13.87451497
1,3, humidity,22.02137097
1,4, humidity,25.35744785
1,5, humidity,16.50378914
1,6, humidity,26.71178603
1,7, humidity,30.97862823
1,8, humidity,23.78370365
1,9, humidity,19.6713921
1,10, humidity,17.96934202
1,11, humidity,16.09725615
1,12, humidity,18.71878504
1,13, humidity,16.79017788
1,14, humidity,26.65262052
1,0, intensityofuse,10.54788283
1,1, intensityofuse,12.47853436
1,2, intensityofuse,4.974413748
1,3, intensityofuse,5.378056408
1,4, intensityofuse,8.90557334
1,5, intensityofuse,11.67496645
1,6, intensityofuse,10.47847182
1,7, intensityofuse,14.18138521
1,8, intensityofuse,8.746418855
1,9, intensityofuse,9.733040334
1,10, intensityofuse,12.20075613
1,11, intensityofuse,8.172418362
1,12, intensityofuse,7.750744898
1,13, intensityofuse,8.222179285
1,14, intensityofuse,8.531017567
1,0, productionvolume,32.28236792
1,1, productionvolume,30.47826357
1,2, productionvolume,29.39631597
1,3, productionvolume,28.60292677
1,4, productionvolume,26.91163123
1,5, productionvolume,25.22951387
1,6, productionvolume,23.35642506
1,7, productionvolume,21.07367496
1,8, productionvolume,18.46815377
1,9, productionvolume,16.60328896
1,10, productionvolume,15.09439281
1,11, productionvolume,13.72615374
1,12, productionvolume,12.78228627
1,13, productionvolume,11.48733606
1,14, productionvolume,10.0623991
1,0, sensordata,315.2896228
1,1, sensordata,588.1031603
1,2, sensordata,667.2986679
1,3, sensordata,809.4307086
1,4, sensordata,1117.079922
1,5, sensordata,1383.855949
1,6, sensordata,1670.118208
1,7, sensordata,2095.103032
1,8, sensordata,2364.450836
1,9, sensordata,2654.562477
1,10, sensordata,2897.525336
1,11, sensordata,3044.449518
1,12, sensordata,3185.562835
1,13, sensordata,3368.236347
1,14, sensordata,3613.043922
1,0, temperature,12.22972883
1,1, temperature,5.661523299
1,2, temperature,8.733014723
1,3, temperature,10.48949993
1,4, temperature,10.21271319
1,5, temperature,7.547156889
1,6, temperature,13.74470084
1,7, temperature,9.615006592
1,8, temperature,11.05039855
1,9, temperature,7.239841
1,10, temperature,1.373122845
1,11, temperature,7.179148358
1,12, temperature,13.51524669
1,13, temperature,5.339830216
1,14, temperature,7.060020554
1,0, treatment,1
1,1, treatment,1
1,2, treatment,1
1,3, treatment,0
1,4, treatment,1
1,5, treatment,1
1,6, treatment,1
1,7, treatment,0
1,8, treatment,0
1,9, treatment,1
1,10, treatment,1
1,11, treatment,1
1,12, treatment,0
1,13, treatment,0
1,14, treatment,0
2,0, humidity,16.46686709
2,1, humidity,24.78155034
2,2, humidity,18.50662143
2,3, humidity,19.44398284
2,4, humidity,17.14816016
2,5, humidity,18.22339663
2,6, humidity,13.92593571
2,7, humidity,22.43979092
2,8, humidity,21.86835122
2,9, humidity,17.71949209
2,10, humidity,19.86185833
2,11, humidity,25.06896587
2,12, humidity,21.01895603
2,13, humidity,16.46350119
2,14, humidity,13.93269406
2,0, intensityofuse,12.03945841
2,1, intensityofuse,11.50442451
2,2, intensityofuse,13.36862297
2,3, intensityofuse,11.69376367
2,4, intensityofuse,8.209311099
2,5, intensityofuse,11.79218691
2,6, intensityofuse,10.48483974
2,7, intensityofuse,9.61995515
2,8, intensityofuse,12.67126061
2,9, intensityofuse,6.338873263
2,10, intensityofuse,13.46955069
2,11, intensityofuse,9.116732531
2,12, intensityofuse,8.274492337
2,13, intensityofuse,6.826722193
2,14, intensityofuse,6.439412662
2,0, productionvolume,32.44977685
2,1, productionvolume,30.47617713
2,2, productionvolume,28.46375186
2,3, productionvolume,26.40763019
2,4, productionvolume,24.59221189
2,5, productionvolume,22.49216484
2,6, productionvolume,20.87834303
2,7, productionvolume,19.61386803
2,8, productionvolume,17.57378101
2,9, productionvolume,16.37313444
2,10, productionvolume,14.47913414
2,11, productionvolume,11.72861803
2,12, productionvolume,9.729007501
2,13, productionvolume,8.605759298
2,14, productionvolume,7.82592113
2,0, sensordata,265.0669461
2,1, sensordata,622.1606648
2,2, sensordata,915.7979617
2,3, sensordata,1161.912982
2,4, sensordata,1460.423451
2,5, sensordata,1791.927096
2,6, sensordata,1944.569996
2,7, sensordata,2214.02153
2,8, sensordata,2513.844166
2,9, sensordata,2639.948241
2,10, sensordata,3088.57361
2,11, sensordata,3392.840982
2,12, sensordata,3688.456768
2,13, sensordata,3808.838855
2,14, sensordata,3905.107991
2,0, temperature,3.540755822
